metric,value,n,unit,retrievedAt,method
queries,28,259,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
perQuery,10,259,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
n,259,259,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
nFetched,251,259,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
nBlocked,8,259,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
nUnknown,0,259,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
distinctDomains,89,259,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
yearInTitlePct,46,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
currentYearInTitlePct,44,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pricesShownPct,72,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
visibleDatePct,42,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
comparisonTablePct,13,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
faqPct,6,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.median,2338,251,words,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.q1,1164,251,words,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.q3,3694,251,words,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.min,78,251,words,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.max,14891,251,words,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.guide.n,113,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.guide.pct,45,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.listicle.n,42,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.listicle.pct,17,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.study.n,26,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.study.pct,10,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.other.n,25,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.other.pct,10,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.forum.n,19,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.forum.pct,8,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.product.n,18,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.product.pct,7,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.category.n,5,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.category.pct,2,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.news.n,2,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.news.pct,1,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.tool.n,1,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.tool.pct,0,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.brand.n,142,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.brand.pct,57,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.blog.n,37,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.blog.pct,15,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.media.n,34,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.media.pct,14,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.forum.n,19,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.forum.pct,8,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.other.n,10,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.other.pct,4,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.marketplace.n,5,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.marketplace.pct,2,251,%,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.institution.n,4,251,count,2026-09-10,"Page-one results (10 per query) for 28 queries fetched on 2026-09-10 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
